samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.53545834435507,2.51989272496144,0,0.441363231209934,0,0.429888964681165,0,0.159526608391091,0.4,0,10,1.94774350235952,0,1,20,0,-7886.85398078128,-6923.47852312537,-963.375457655913
11,1.54328786633068,2.51989272496144,0,0.441363231209934,0,0.422003743070359,0,0.159526608391091,0.4,0,10,1.94774350235952,0,1,20,0,-7520.42099563114,-6464.10173651318,-1056.31925911796
21,1.54328786633068,2.51989272496144,0,0.441363231209934,0,0.386504446061543,0,0.159526608391091,0.4,0,10,2.98134369219641,0,1,20,0,-6209.99098204846,-5070.21547172228,-1139.77551032618
31,1.54328786633068,2.63871850740478,0,0.441363231209934,0,0.341975980492077,0,0.159526608391091,0.4,0,10,3.19395249426414,0,1,20,0,-6080.14425881331,-4894.18476273991,-1185.9594960734
41,1.79969062477715,3.01595302632037,0,0.393327329007928,0,0.340819019076963,0,0.159526608391091,0.4,0,10,3.19395249426414,0,1,20,0,-5942.57178300158,-4746.2951335829,-1196.27664941868
51,1.79969062477715,3.01595302632037,0,0.393327329007928,0,0.30332710658946,0,0.159526608391091,0.4,0,10,3.19395249426414,0,1,20,0,-5886.20789921611,-4669.55247634472,-1216.6554228714
61,2.10161422917986,3.01595302632037,0,0.374256921151057,0,0.297150858027716,0,0.159526608391091,0.4,0,10,3.19395249426414,0,1,20,0,-5793.12102483638,-4552.00184417463,-1241.11918066175
71,2.35961292199779,3.20826418956717,0,0.362468682996343,0,0.297150858027716,0,0.125594211072567,0.4,0,10,2.72489109490471,0,1,20,0,-5529.37700527734,-4299.14361688879,-1230.23338838855
81,2.35961292199779,3.47097358837782,0,0.362468682996343,0,0.297150858027716,0,0.125594211072567,0.4,0,10,2.72489109490471,0,1,20,0,-5530.07521169523,-4258.64064254758,-1271.43456914765
91,2.35961292199779,3.51979066001169,0,0.362468682996343,0,0.262484560347346,0,0.125594211072567,0.4,0,10,2.35922681033127,0,1,20,0,-5439.13803379358,-4128.06318099694,-1311.07485279664
101,2.36516690113459,3.51979066001169,0,0.362468682996343,0,0.248935864371867,0,0.125594211072567,0.4,0,10,2.35922681033127,0,1,20,0,-5402.56898719448,-4082.70187519732,-1319.86711199715
111,2.36516690113459,3.53100012500026,0,0.341881764869068,0,0.248935864371867,0,0.09750650836652,0.4,0,10,2.10009090668031,0,1,20,0,-5238.61282995477,-3935.17846497688,-1303.43436497789
121,2.56242143301844,3.78833997859031,0,0.341881764869068,0,0.248935864371867,0,0.09750650836652,0.4,0,10,2.10009090668031,0,1,20,0,-5133.45162630955,-3838.64484229053,-1294.80678401902
131,2.56242143301844,3.83822643397169,0,0.36606297950286,0,0.248935864371867,0,0.09750650836652,0.4,0,10,2.04919014236227,0,1,20,0,-5147.49372112842,-3818.06115259623,-1329.43256853219
141,2.61325228511274,3.53093193765586,0,0.36606297950286,0,0.249015259974444,0,0.0834970080683422,0.4,0,10,2.04919014236227,0,1,20,0,-5127.89707721836,-3785.58391742145,-1342.31315979691
151,2.61325228511274,3.53093193765586,0,0.36606297950286,0,0.249015259974444,0,0.0834970080683422,0.4,0,10,2.04919014236227,0,1,20,0,-5118.81674332891,-3751.73372367009,-1367.08301965882
161,2.61325228511274,3.72138211956422,0,0.36606297950286,0,0.249015259974444,0,0.0697460705663969,0.4,0,10,2.04919014236227,0,1,20,0,-5105.65599257618,-3724.08124210592,-1381.57475047026
171,2.61325228511274,3.72138211956422,0,0.36606297950286,0,0.249015259974444,0,0.0650289697167524,0.4,0,10,1.99252436762794,0,1,20,0,-5088.96851842247,-3697.84459023213,-1391.12392819035
181,2.61325228511274,3.72138211956422,0,0.36606297950286,0,0.280061079224736,0,0.0650289697167524,0.4,0,10,1.99252436762794,0,1,20,0,-5067.88588761979,-3659.04787989562,-1408.83800772417
