samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.97753968446708,2.64136304645881,0,0.445764079158876,0,0.469231236563087,0,0.157270109376913,0.4,0,10,1.5988320497696,0,1,20,0,-8266.93063512288,-7353.94500670817,-912.985628414713
11,3.01377699684017,2.64136304645881,0,0.445764079158876,0,0.469231236563087,0,0.153358404454437,0.4,0,10,2.09779532436315,0,1,20,0,-6550.90447290507,-5460.1152919959,-1090.78918090917
21,3.24634901807657,2.64136304645881,0,0.397774825789305,0,0.469231236563087,0,0.153358404454437,0.4,0,10,2.97568199211775,0,1,20,0,-5884.17663042305,-4727.94421723373,-1156.23241318932
31,3.51186074448448,2.72289803641913,0,0.397774825789305,0,0.469231236563087,0,0.137073641598997,0.4,0,10,2.97568199211775,0,1,20,0,-5779.86766341084,-4519.07494150485,-1260.79272190599
41,3.51186074448448,2.72289803641913,0,0.397774825789305,0,0.453079424738074,0,0.0890496495464647,0.4,0,10,2.45361190832948,0,1,20,0,-5547.17524683188,-4237.84250918825,-1309.33273764363
51,3.86608741622097,2.72289803641913,0,0.397774825789305,0,0.457519093939097,0,0.0890496495464647,0.4,0,10,2.45361190832948,0,1,20,0,-5448.43847618856,-4136.09709156836,-1312.3413846202
61,3.86608741622097,2.75823344460515,0,0.397774825789305,0,0.458829496530009,0,0.0890496495464647,0.4,0,10,2.45361190832948,0,1,20,0,-5406.44716518189,-4042.47674553933,-1363.97041964256
71,3.86608741622097,2.70205483614174,0,0.397774825789305,0,0.458829496530009,0,0.070616696353134,0.4,0,10,2.45361190832948,0,1,20,0,-5374.43542149119,-3972.54852605011,-1401.88689544107
81,3.86608741622097,2.70205483614174,0,0.397774825789305,0,0.469350055122006,0,0.070616696353134,0.4,0,10,1.5767561128515,0,1,20,0,-5210.02155834086,-3755.60696626893,-1454.41459207194
91,3.86973433254863,2.70205483614174,0,0.397774825789305,0,0.455705265441606,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-5130.19800763353,-3660.46084302034,-1469.73716461319
101,3.86973433254863,2.73807732498275,0,0.360795934322652,0,0.44725621776406,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-5073.20217538671,-3600.82891493269,-1472.37326045402
111,3.86973433254863,2.56661392717056,0,0.360795934322652,0,0.435319189435428,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-5040.15064161063,-3577.8963126347,-1462.25432897593
121,3.86973433254863,2.75580675574201,0,0.360795934322652,0,0.433100133851363,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-4971.57137068965,-3524.49930092448,-1447.07206976517
131,3.86973433254863,2.75580675574201,0,0.347949458117012,0,0.433100133851363,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-4947.71304346115,-3521.58778393697,-1426.12525952417
141,3.86973433254863,2.92641326633607,0,0.340078020965734,0,0.416830778774061,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-4915.9320830003,-3508.7708372983,-1407.16124570199
151,3.86973433254863,2.95925978560141,0,0.350924517026241,0,0.416830778774061,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-4911.55678182443,-3495.79434887062,-1415.76243295381
161,3.86973433254863,2.95925978560141,0,0.350924517026241,0,0.416830778774061,0,0.070616696353134,0.4,0,10,1.58495891144766,0,1,20,0,-4896.68027369604,-3486.35028289992,-1410.32999079612
171,3.86973433254863,2.95925978560141,0,0.350924517026241,0,0.433159069041043,0,0.070616696353134,0.4,0,10,1.42470942853009,0,1,20,0,-4850.18876440666,-3451.96102202268,-1398.22774238398
181,3.86973433254863,2.95925978560141,0,0.350924517026241,0,0.454011021865134,0,0.070616696353134,0.4,0,10,1.42470942853009,0,1,20,0,-4844.56602636486,-3423.12360549185,-1421.44242087301
191,3.92339408548222,2.95925978560141,0,0.350924517026241,0,0.466647738023365,0,0.0690246075757589,0.4,0,10,1.42470942853009,0,1,20,0,-4791.39759624068,-3385.68229087378,-1405.7153053669
201,3.92339408548222,2.95925978560141,0,0.350924517026241,0,0.466647738023365,0,0.0530109445392798,0.4,0,10,1.42470942853009,0,1,20,0,-4748.73458994128,-3363.49557534733,-1385.23901459395
211,3.8240989504877,2.95578035442213,0,0.388753016051051,0,0.466647738023365,0,0.0530109445392798,0.4,0,10,1.42470942853009,0,1,20,0,-4757.05979729354,-3343.50867889461,-1413.55111839893
221,3.8240989504877,2.85167250101172,0,0.376033579189094,0,0.458469473980752,0,0.0530109445392798,0.4,0,10,1.42470942853009,0,1,20,0,-4759.80730727437,-3338.59007289809,-1421.21723437628
