samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.34429095536762,2.64369807273364,0,0.470165437318946,0,0.490205850490094,0,0.195366616532266,0.4,0,10,1.97332396252346,0,1,20,0,-7717.67880382078,-6792.30597567892,-925.372828141855
11,2.34429095536762,2.64369807273364,0,0.455654151103474,0,0.450897839802027,0,0.195366616532266,0.4,0,10,1.97332396252346,0,1,20,0,-7449.41236492956,-6438.88863869751,-1010.52372623205
21,2.56100746940113,3.13111661269149,0,0.451255632648517,0,0.450897839802027,0,0.195366616532266,0.4,0,10,1.97332396252346,0,1,20,0,-6869.15678556393,-5784.43117169034,-1084.72561387359
31,2.56100746940113,3.2502360407843,0,0.451255632648517,0,0.450897839802027,0,0.195366616532266,0.4,0,10,1.97332396252346,0,1,20,0,-6521.7436015642,-5338.32798655876,-1183.41561500543
41,2.56100746940113,3.53349019902897,0,0.451255632648517,0,0.450897839802027,0,0.195366616532266,0.4,0,10,2.18139325367049,0,1,20,0,-6138.93283599784,-4926.34221208805,-1212.59062390978
51,2.95868937461809,3.53349019902897,0,0.451255632648517,0,0.416152189103806,0,0.195366616532266,0.4,0,10,2.18139325367049,0,1,20,0,-5897.53444890759,-4631.00064326372,-1266.53380564387
61,3.09330231729124,3.53349019902897,0,0.451255632648517,0,0.416152189103806,0,0.169416811791877,0.4,0,10,2.18139325367049,0,1,20,0,-5603.77387099069,-4340.88625601373,-1262.88761497696
71,3.17556801832238,3.78159745232488,0,0.451255632648517,0,0.373658480895908,0,0.099474854951438,0.4,0,10,2.18139325367049,0,1,20,0,-5331.64728632254,-4014.29150764378,-1317.35577867876
81,3.17556801832238,3.78159745232488,0,0.451255632648517,0,0.328407814984402,0,0.099474854951438,0.4,0,10,2.15255376434214,0,1,20,0,-5268.22116785425,-3938.62757331119,-1329.59359454306
91,3.17556801832238,3.78159745232488,0,0.452741827296629,0,0.328407814984402,0,0.099474854951438,0.4,0,10,2.15255376434214,0,1,20,0,-5186.19454285876,-3831.65482322497,-1354.53971963379
101,3.47502369452383,3.78159745232488,0,0.460156714011123,0,0.326389283824007,0,0.100326016467952,0.4,0,10,2.15255376434214,0,1,20,0,-5146.61354230594,-3811.31458556663,-1335.29895673931
111,3.49990012207516,3.78159745232488,0,0.460156714011123,0,0.326389283824007,0,0.100326016467952,0.4,0,10,2.15255376434214,0,1,20,0,-5152.83718259212,-3794.21440324291,-1358.6227793492
121,3.55037989199139,3.78159745232488,0,0.459869898495483,0,0.320699788980548,0,0.100326016467952,0.4,0,10,2.15255376434214,0,1,20,0,-5162.99658610791,-3772.48832275286,-1390.50826335505
131,3.55037989199139,3.78159745232488,0,0.459869898495483,0,0.304161096752041,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-5038.23446582889,-3650.40990949587,-1387.82455633303
141,3.55037989199139,3.78159745232488,0,0.459869898495483,0,0.304161096752041,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-5003.7638815262,-3608.87748082328,-1394.88640070292
151,3.55037989199139,3.78159745232488,0,0.459869898495483,0,0.293409967010206,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4926.50426141615,-3517.84765658943,-1408.65660482672
161,3.55037989199139,3.78159745232488,0,0.459869898495483,0,0.292898470052258,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4857.38350664151,-3459.25341796985,-1398.13008867166
171,3.55278430119602,3.78159745232488,0,0.459869898495483,0,0.273476685602952,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4815.03579974811,-3420.62466609711,-1394.411133651
181,3.55278430119602,3.78159745232488,0,0.459869898495483,0,0.289271628709626,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4775.07302502366,-3393.09859585998,-1381.97442916368
191,3.55278430119602,3.78159745232488,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4777.01439010893,-3376.8423235154,-1400.17206659353
201,3.55278430119602,3.78159745232488,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4794.60751701871,-3376.76054611394,-1417.84697090478
211,3.55278430119602,3.95001033735512,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4775.66576893995,-3355.65450722576,-1420.0112617142
221,3.51947796858182,3.90737961124046,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4746.96046202783,-3333.52848366017,-1413.43197836766
231,3.51947796858182,3.93557714251802,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4740.97508904742,-3339.40070931627,-1401.57437973115
241,3.51947796858182,3.93557714251802,0,0.456061166585591,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4789.96438191154,-3356.41163862003,-1433.55274329152
251,3.51947796858182,3.93557714251802,0,0.449904212816636,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4803.10256854706,-3363.49097684429,-1439.61159170276
261,3.51947796858182,3.93557714251802,0,0.450239901512372,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4815.5966811248,-3352.49614609054,-1463.10053503425
271,3.51947796858182,3.87842906092136,0,0.450239901512372,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4817.77868390976,-3350.60880717726,-1467.1698767325
281,3.51947796858182,3.87842906092136,0,0.418833573422717,0,0.28985774090756,0,0.100326016467952,0.4,0,10,1.35104343970703,0,1,20,0,-4798.81466110548,-3339.69976914407,-1459.11489196141
